Store_Name,Domain,Website,First_Name,Last_Name,Title,Email,Secondary_Email,Niche,Deliverability_Score,MX_Status,DMARC_Status,SPF_Status,Gravatar_Found,Meta_Ads_Library_URL,Instagram,Facebook,TikTok,Twitter_X,LinkedIn,Personalized_Icebreaker
1001 Organic,1001organic.fr,https://1001organic.fr,Info,Owner,1001 Organic – Du petit agriculteur à votre table,info@1001organic.ch,votre-courriel@exemple.com,Health & Supplements,100% Confirmed Real,Valid (Host MX),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=1001%20Organic&type=all,https://www.instagram.com/1001organic_de,https://www.facebook.com/1001organic.de,,,,"The focus 1001 Organic puts on clean, effective formulas is exactly what customers need."
4 Your Wellness,4ywn.com,https://4ywn.com,Sales,Owner,Founder / Owner @ 4 Your Wellness,sales@4ywn.com,"support@shirlyns.com, info@simplywholesome.com",Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Not Configured,Configured,No,https://www.facebook.com/ads/library/?q=4%20Your%20Wellness&type=all,https://www.instagram.com/groundednaturalfoods,https://www.facebook.com/CNF-Cloquet-Natural-Foods-258988257601467,,,https://www.linkedin.com/company/cook-s-natural-foods,"The focus 4 Your Wellness puts on clean, effective formulas is exactly what customers need."
Abound Wellness and Beauty,aboundwellnessandbeauty.com,https://aboundwellnessandbeauty.com,Aboundwellnessandbeauty,Owner,Abound Wellness and Beauty - Online Beauty Supply Store,aboundwellnessandbeauty@gmail.com,,Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=Abound%20Wellness%20and%20Beauty&type=all,https://www.instagram.com/aboundwellnessandbeauty,https://www.facebook.com/aboundwellnessandbeauty,,https://x.com/AboundWell,,"The focus Abound Wellness and Beauty puts on clean, effective formulas is exactly what customers need."
Active Fitness Canada,activefitnesscanada.com,https://activefitnesscanada.com,Info,Owner,Active Fitness Canada,info@activefitnesscanada.com,,Health & Supplements,100% Confirmed Real,Valid (Microsoft 365),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=Active%20Fitness%20Canada&type=all,,,,,,"The focus Active Fitness Canada puts on clean, effective formulas is exactly what customers need."
Adelaide Supplements,adelaidesupplements.com.au,https://adelaidesupplements.com.au,Adelaidesupplements,Owner,Adelaide Supplements,adelaidesupplements@gmail.com,,Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=Adelaide%20Supplements&type=all,https://www.instagram.com/adelaidesupplements,https://www.facebook.com/adelaidesupplements,,,,"The focus Adelaide Supplements puts on clean, effective formulas is exactly what customers need."
Adellina Sleep,adellinasleep.com,https://adellinasleep.com,Service,Owner,Adellina Sleep,service@adellinasleep.com,,Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=Adellina%20Sleep&type=all,,,,,,"The focus Adellina Sleep puts on clean, effective formulas is exactly what customers need."
agugutrain.com,agugutrain.com,https://agugutrain.com,Customerservice,Owner,AGUGU｜輕食時代 X 高蛋白飲 X 每日營養補充,customerservice@agugutrain.com,,Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Configured (v=DMARC1),None,No,https://www.facebook.com/ads/library/?q=agugutrain.com&type=all,https://www.instagram.com/agugutrain,https://www.facebook.com/agugutrain,,,,"The focus agugutrain.com puts on clean, effective formulas is exactly what customers need."
akonfitness.com,akonfitness.com,https://akonfitness.com,Hola,Owner,Founder / Owner @ akonfitness.com,hola@akonfitness.com,"pedidosakonfitness@gmail.com, administracion@akonfitness.com",Health & Supplements,100% Confirmed Real,Valid (Host MX),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=akonfitness.com&type=all,https://www.instagram.com/akonfitness,,https://www.tiktok.com/@akonfitness,,https://www.linkedin.com/company/akonfitness,"The focus akonfitness.com puts on clean, effective formulas is exactly what customers need."
Alexandra Organic,alexandraorganic.com,https://alexandraorganic.com,Info,Owner,Organic Haircare and Cosmetics - Alexandra Organic,info@alexandraorganic.com,,Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Not Configured,Configured,No,https://www.facebook.com/ads/library/?q=Alexandra%20Organic&type=all,https://www.instagram.com/alexandraorganic,https://www.facebook.com/Alexandra-Organic-Usa-103613761676127,https://www.tiktok.com/@alexandraorganic,,,"The focus Alexandra Organic puts on clean, effective formulas is exactly what customers need."
AllOne Wellness,allonewellnessnow.com,https://allonewellnessnow.com,Support,Owner,AllOne Wellness - Chlorine Dioxide Products - CDS solution,support@allonewellnessnow.com,,Health & Supplements,100% Confirmed Real,Valid (Zoho Mail),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=AllOne%20Wellness&type=all,https://www.instagram.com/Allonewellnessnow,https://www.facebook.com/AllOneWellnessOldPage,,https://x.com/AllOnewellness,,"The focus AllOne Wellness puts on clean, effective formulas is exactly what customers need."
ALVA,alvawellness.co.uk,https://alvawellness.co.uk,Info,Owner,ALVA,info@alvawellness.co.uk,,Health & Supplements,100% Confirmed Real,Valid (Microsoft 365),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=ALVA&type=all,https://www.instagram.com/alva.wellness,,https://www.tiktok.com/@alva.wellness,,,"The focus ALVA puts on clean, effective formulas is exactly what customers need."
Amborella Organics,amborellaorganics.com,https://amborellaorganics.com,Taylor,Owner,Amborella Organics,taylor@amborellaorganics.com,,Health & Supplements,100% Confirmed Real,Valid (Microsoft 365),Not Configured,Configured,No,https://www.facebook.com/ads/library/?q=Amborella%20Organics&type=all,https://www.instagram.com/amborellaorganics,https://www.facebook.com/amborellaorganics,,https://x.com/AmborellaOrg,https://www.linkedin.com/company/6647657,"The focus Amborella Organics puts on clean, effective formulas is exactly what customers need."
amicawellness.com,amicawellness.com,https://amicawellness.com,Hello,Owner,"Stress Support for Busy Moms
&ndash; Amica Wellness",hello@amicawellness.com,,Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Not Configured,Configured,No,https://www.facebook.com/ads/library/?q=amicawellness.com&type=all,https://www.instagram.com/amicawellness,,,,,"The focus amicawellness.com puts on clean, effective formulas is exactly what customers need."
AmritDhara Organics,amritdharaorganics.com,https://amritdharaorganics.com,Amritdharaorg,Owner,AmritDhara Organics,amritdharaorg@gmail.com,,Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=AmritDhara%20Organics&type=all,https://www.instagram.com/amritdhara.organics,https://www.facebook.com/profile.php,,,,"The focus AmritDhara Organics puts on clean, effective formulas is exactly what customers need."
Ancient Nutrition CBD,ancientnutritioncbd.com,https://ancientnutritioncbd.com,Supportcbd,Owner,Ancient Nutrition CBD | Clean. Organic. Full-Spectrum.,supportcbd@ancientnutrition.com,"vendors@layout.theme.js, template.cart@template.index",Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=Ancient%20Nutrition%20CBD&type=all,https://www.instagram.com/ancientnutrition,https://www.facebook.com/ancientnutrition,,,,"The focus Ancient Nutrition CBD puts on clean, effective formulas is exactly what customers need."
Angel's Herbal Cigarettes,angelscigs.com,https://angelscigs.com,Info,Owner,Angel&#39;s Herbal Cigarettes,info@angelscigs.com,,Health & Supplements,100% Confirmed Real,Valid (Host MX),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=Angel%27s%20Herbal%20Cigarettes&type=all,,,,,,"The focus Angel's Herbal Cigarettes puts on clean, effective formulas is exactly what customers need."
Angelic Organics,angelicorganicshair.com,https://angelicorganicshair.com,Hello,Owner,Angelic Organics Hair Home Page,hello@angelicorganicshair.com,,Health & Supplements,100% Confirmed Real,Valid (Host MX),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=Angelic%20Organics&type=all,https://www.instagram.com/angelicorganicshair,,https://www.tiktok.com/@angelicorganicshair,,,"The focus Angelic Organics puts on clean, effective formulas is exactly what customers need."
"Mushroom Supplements, Done Right",antioxi-supplements.com,https://antioxi-supplements.com,Info,Owner,"Mushroom Supplements, Done Right - Safe, Pure, Tested &amp; Potent",info@antioxi-supplements.com,,Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=Mushroom%20Supplements%2C%20Done%20Right&type=all,https://www.instagram.com/antioxi.supplements,https://www.facebook.com/antioxi.supplements,https://www.tiktok.com/@antioxi.supplements,,,"The focus Mushroom Supplements, Done Right puts on clean, effective formulas is exactly what customers need."
Apotheka Herbal,apothekaherbal.ca,https://apothekaherbal.ca,Michelle,Owner,Herbal Store Victoria BC - Apotheka Herbal Canada,michelle@apothekaherbal.ca,info@apothekaherbal.ca,Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Not Configured,None,No,https://www.facebook.com/ads/library/?q=Apotheka%20Herbal&type=all,https://www.instagram.com/apothekaherbal,https://www.facebook.com/apothekaherbal,,,,"The focus Apotheka Herbal puts on clean, effective formulas is exactly what customers need."
Arazo Nutrition,arazonutrition.com,https://arazonutrition.com,Support,Owner,Arazo Nutrition,support@arazonutrition.com,,Health & Supplements,98% Confirmed Real,Valid (Host MX),Not Configured,Configured,No,https://www.facebook.com/ads/library/?q=Arazo%20Nutrition&type=all,https://www.instagram.com/arazo_nutrition_usa,https://www.facebook.com/ArazoNutritionUSA,https://www.tiktok.com/@arazo_nutrition,,,"The focus Arazo Nutrition puts on clean, effective formulas is exactly what customers need."
Arbor Vitamins,arborvitamins.com,https://arborvitamins.com,Support,Owner,"Arbor Vitamins ® | Science-driven supplements, AM to PM",support@arborvitamins.com,,Health & Supplements,100% Confirmed Real,Valid (Host MX),Configured (v=DMARC1),Configured,No,https://www.facebook.com/ads/library/?q=Arbor%20Vitamins&type=all,https://www.instagram.com/arborvitamins,,https://www.tiktok.com/@arborvitamins,,,"The focus Arbor Vitamins puts on clean, effective formulas is exactly what customers need."
Arid Origins,aridoriginsorganics.com,https://aridoriginsorganics.com,Keeley,Owner,Arid Origins | Shop Cactus &amp; Desert Plant Seeds from Arizona,keeley@aridorigins.com,,Health & Supplements,63% Confirmed Real,Valid (Google Workspace),Not Configured,Configured,No,https://www.facebook.com/ads/library/?q=Arid%20Origins&type=all,https://www.instagram.com/aridorigins,https://www.facebook.com/profile.php,,,,"The focus Arid Origins puts on clean, effective formulas is exactly what customers need."
Atinge,atingeorganic.ro,https://atingeorganic.ro,Comenzi,Owner,Atinge - aromatherapy &amp; natural beauty,comenzi@atingeorganic.ro,,Health & Supplements,100% Confirmed Real,Valid (Zoho Mail),Not Configured,None,No,https://www.facebook.com/ads/library/?q=Atinge&type=all,https://www.instagram.com/atinge.organic,https://www.facebook.com/atinge.organic,,,,"The focus Atinge puts on clean, effective formulas is exactly what customers need."
Aussie Fitness co,aussiefitnessco.com,https://aussiefitnessco.com,Support,Owner,American Express,support@aussiefitnessco.com,,Health & Supplements,100% Confirmed Real,Valid (Google Workspace),Configured (v=DMARC1),None,No,https://www.facebook.com/ads/library/?q=Aussie%20Fitness%20co&type=all,https://www.instagram.com/aussiefitnessco,https://www.facebook.com/aussiefitnessco,,,,"The focus Aussie Fitness co puts on clean, effective formulas is exactly what customers need."
